year,artist,album
1998,NTM,Suprême NTM
1998,Busta Flex,Busta Flex
1998,Fonky Family,Si Dieu veut
1998,Shurik'n,Où je vis
1998,DJ Kheops,Sad Hill
1998,Oxmo Puccino,Opéra Puccino
1998,Secteur Ä,Live à l'Olympia
1998,Manau,Panique celtique
1998,Doc Gynéco,Liaisons Dangereuses
1999,Zoxea,À mon tour d'briller
1999,Saïan Supa Crew,KLR
1999,Ärsenik,Quelques gouttes suffisent
1999,Ménélik,Je me souviens
2000,Le Rat Luciano,Mode De Vie Béton Style
2000,Nèg' Marrons,Le Bilan
2000,Pit Baccardi,Pit Baccardi
2000,NTM,NTM Live
2000,Zebda,Le bruit et l'odeur
2001,Akhenaton,Sol Invictus
2001,Assassin,L'Homicide volontaire
2001,Fonky Family,Art de Rue
2001,Sniper,Du rire aux larmes
2001,MC Solaar,Cinquième As
2002,Lunatic,Mauvais Œil
2002,113,113 fout la merde
2002,Fonky Family,Hors-Série Volume 2
2002,IV My People,Certifié conforme
2002,Rohff,La Vie avant la mort
2003,Booba,Temps Mort
2003,Diam's,Brut de femme
2003,IAM,Revoir un printemps
2003,Matt Houston,Chant de bataille
2003,MC Solaar,Mach 6
2003,Saïan Supa Crew,X Raisons
2003,Sniper,Gravé dans la roche
2004,Booba,Panthéon
2004,Kool Shen,Dernier Round
2004,Rohff,La Fierté des nôtres
2005,3e œil,"Hier, Aujourd'hui, Demain"
2005,IAM,Anthologie
2005,Rohff,Au-delà de mes limites
2005,Sinik,La Main sur le cœur
2005,Diam's,Brut de femme
2006,Kery James,Si c'était à refaire
2006,JoeyStarr,Gare au Jaguarr
2006,Sniper,Trait pour trait
2007,Booba,Ouest Side
2007,Ärsenik,Quelque chose a survécu…
2007,IAM,Saison 5
2007,Kamini,Psychostar World
2007,MC Solaar,Chapitre 7
2007,Sinik,Le Toit du monde
2007,La Fouine,Aller-Retour
2007,Diam's,Dans ma bulle
2007,Soprano,Puisqu'il faut vivre
2008,Psy 4 de la rime,Les Cités d'or
2008,Booba,0.9
2008,Sefyu,Suis-je le gardien de mon frère ?
2009,Abd al Malik,Dante
2009,Assassin,Touche d'espoir
2009,La Fouine,Mes repères
2009,Rohff,Le Code de l'horreur
2009,Sinik,Ballon d'or
2009,Féfé,Jeune à la retraite
2010,Kery James,Réel
2010,Rohff,La Cuenta
2010,Soprano,Le Corbeau
2010,Sexion d'Assaut,L'École des points vitaux
2010,Stromae,Cheese
2010,Booba,Lunatic
2011,Abd al Malik,Château Rouge
2011,La Fouine,La Fouine vs Laouni 
2011,Sexion d'Assaut,En attendant L'Apogée 
2011,Soprano,La Colombe et Le Corbeau
2011,Sniper,À toute épreuve
2011,Orelsan,Le Chant des sirènes
2011,Mister You,Dans Ma Grotte
2012,Youssoupha,Noir Desir
2012,Sexion d'Assaut,L’Apogée
2012,Booba,Autopsie Vol. 4
2012,Booba,Futur
2013,Maître Gims,Subliminal
2013,La Fouine,Drôle de parcours
2013,Psy 4 de la rime,Quatrième dimension
2013,IAM,Arts martiens
2013,Rohff,P.D.R.G
2013,Kaaris,Or Noir
2013,Stromae,Racine carrée
2014,Lacrim,Corleone
2014,Black M,Les Yeux plus gros que le monde
2014,Les Casseurs Flowters,Orelsan et Gringe sont les Casseurs Flowters
2014,JUL,Dans ma Paranoia
2014,JUL,Je Trouve pas le Sommeil
2014,Team BS,Team BS
2015,Gradur,L'Homme au bob
2015,Nekfeu,Feu
2015,Bigflo & Oli,La Cour des Grands
2015,Booba,D.U.C
2015,Soprano,Cosmopolitanie
2015,JUL,Je Tourne en Rond
2015,Youssoupha,NGRTD
2015,Alonzo,Règlement de Comptes
2015,Maître Gims,Mon cœur avait raison
2015,JUL,My World
2015,Lacrim,R.I.P.R.O. Volume I
2015,Booba,Nero Nemesis
2016,Lacrim,R.I.P.R.O. Volume II
2016,Gradur,Sheguey Vara 2
2016,SCH,A7
2016,PNL,Le Monde Chico
2016,Lartiste,Maesto
2016,Kalash,Kaos
2016,JUL,Émotions
2016,Alonzo,Avenue de Saint-Antoine
2016,MHD,MHD
2016,Crew,Destins liés
2016,Djadja et Dinaz,On s'promet
2016,SCH,Anarchie
2016,Lefa,Monsieur Fall
2016,Niska,Zifukoro
2016,PNL,Dans la légende
2016,Rim'K,Monster Tape
2016,Les Casseurs Flowters,Comment c'est loin
2016,Kaaris,Le Bruit de mon âme
2016,Soprano,L’Everest
2016,Black M,Éternel Insatisfait
2016,Damso,Batterie faible
2016,JUL,L’ovni
2016,Kaaris,Okou Gnakouri
2016,Nekfeu,Cyborg
2016,MZ,La Dictature
